start,end,length
1,2,140
1,22,40
2,3,100
2,28,80
3,4,80
3,40,50
4,5,10
4,40,70
5,6,40
5,27,150
6,7,100
6,54,50
7,8,100
7,9,150
7,39,150
9,10,40
9,27,150
10,11,100
10,19,100
11,12,70
11,18,130
12,13,110
12,17,150
13,14,70
13,16,150
14,15,170
14,87,150
15,16,50
15,98,450
16,17,120
17,18,80
18,19,130
19,20,120
20,21,60
20,27,110
21,22,100
21,26,90
22,23,70
23,24,50
23,25,50
25,26,50
26,27,50
28,29,70
28,41,50
29,30,60
29,42,50
30,31,130
30,42,80
30,45,50
31,32,80
31,46,20
32,33,80
32,48,20
33,34,20
33,60,100
34,35,60
34,48,80
35,36,70
35,49,80
35,74,100
36,37,80
36,51,70
36,85,150
37,38,80
37,73,170
37,84,250
38,39,70
38,53,60
39,53,30
40,41,50
40,43,70
41,42,50
42,43,30
43,44,20
44,45,80
44,54,90
45,55,50
46,47,70
46,57,80
47,48,10
47,49,50
49,50,30
50,51,30
50,58,30
51,52,20
52,53,50
54,59,80
55,56,90
55,59,20
56,57,30
56,59,90
57,58,50
60,61,30
60,74,100
61,62,90
61,75,30
62,63,20
62,76,30
63,64,150
63,77,100
64,65,150
65,66,130
65,77,150
66,67,110
66,78,110
67,68,50
67,69,30
67,80,110
69,70,110
70,71,300
70,80,30
71,72,100
71,73,190
72,73,80
72,88,60
72,90,140
74,81,100
75,76,130
76,82,120
77,78,70
78,79,100
78,83,30
79,80,20
79,84,80
81,82,90
81,85,20
82,83,40
83,86,40
84,86,80
85,86,40
87,88,460
87,97,280
88,89,40
89,90,120
89,92,50
90,91,40
91,92,120
91,93,80
92,94,60
93,94,120
93,95,100
94,96,70
94,97,70
95,96,100
95,98,700
96,97,40
96,98,550
