Edge Start,Edge End,Dirtiness Decrease,Final Dirtiness
4,5,17.28,0.71
4,40,15.13,0.00
5,6,13.86,3.33
78,83,12.76,0.00
34,35,11.80,5.51
72,88,19.64,0.00
12,13,13.99,0.00
4,40,19.83,0.00
40,41,18.86,0.00
6,7,17.26,2.79
83,86,13.45,0.00
35,49,18.74,0.00
87,88,19.85,0.00
12,17,16.81,3.89
40,43,12.64,1.34
28,41,13.45,1.88
7,9,16.26,0.00
85,86,15.13,3.39
49,50,18.29,3.80
14,87,13.89,1.29
17,18,14.65,6.99
42,43,17.79,2.17
28,29,17.63,3.14
7,9,14.39,0.00
36,85,19.88,0.00
50,51,15.21,2.92
13,14,11.19,8.01
11,18,19.84,0.00
30,42,12.72,2.83
29,30,14.78,1.57
6,7,10.89,0.00
36,37,19.85,0.75
36,51,12.63,4.29
13,16,13.13,9.51
11,12,16.04,5.06
30,31,14.44,9.87
30,45,17.84,2.23
6,54,11.13,10.50
36,37,12.74,0.00
36,37,19.34,0.00
15,16,16.11,0.00
12,13,16.46,0.00
31,46,17.95,4.16
45,55,18.78,2.85
54,59,14.91,9.91
36,85,10.61,0.00
37,84,18.80,6.71
15,98,12.77,3.18
13,14,11.16,0.00
46,57,15.25,2.08
55,59,11.88,14.07
56,59,12.60,13.71
81,85,12.97,9.88
79,84,11.58,14.06
96,98,12.61,4.02
14,87,17.11,0.00
56,57,12.91,12.93
55,59,17.76,0.00
56,59,13.83,0.79
81,85,13.52,0.00
79,84,10.53,4.37
95,96,13.74,11.30
87,97,16.03,8.72
56,59,18.15,0.00
45,55,19.11,0.00
54,59,16.86,0.00
85,86,12.52,0.00
84,86,15.11,6.13
95,96,10.35,1.90
94,97,12.78,13.21
54,59,14.99,0.00
44,45,13.99,11.17
6,54,10.97,3.29
83,86,13.94,0.00
85,86,15.04,0.00
96,98,11.36,0.00
94,96,16.79,11.68
6,54,19.45,0.00
43,44,18.31,1.10
5,6,14.22,0.00
78,83,10.30,0.14
